Well,Temperature,Value
A07,83,51380.24242
A07,84,50440.83333
A07,85,49254.10606
A07,86,47894.4697
A07,87,46393.42424
A07,88,45156.25758
A07,89,43335.59091
A07,90,41743.51515
A07,91,40015.21212
A07,92,38328.51515
A07,93,36600.83333
A07,94,34959.78788
A07,95,33377.42424
A08,26,4639.090909
A08,27,4823.484848
A08,28,4754.575758
A08,29,4785.075758
A08,30,4707.712121
A08,31,4626.136364
A08,32,4587.318182
A08,33,4623.969697
A08,34,4549.227273
A08,35,4539.151515
A08,36,4554.969697
A08,37,4599.954545
A08,38,4660.606061
A08,39,4815.409091
A08,40,5159.575758
A08,41,5673.30303
A08,42,6609.757576
A08,43,8324.69697
A08,44,11558.78788
A08,45,16263.21212
A08,46,23253.27273
A08,47,30167.98485
A08,48,37074.75758
A08,49,41338.86364
A08,50,44813.09091
A08,51,46296.04545
A08,52,47405.25758
A08,53,47342.37879
A08,54,47421.15152
A08,55,46683.31818
A08,56,45757.80303
A08,57,45082.13636
A08,58,44266.98485
A08,59,43702
A08,60,42929.01515
A08,61,42053.5303
A08,62,41283.92424
A08,63,40391.37879
A08,64,39575.37879
A08,65,38628.63636
A08,66,37678.25758
A08,67,36680.31818
A08,68,35645.13636
A08,69,34622.19697
A08,70,33634.89394
A08,71,32618.71212
A08,72,31600.42424
A08,73,30640.10606
A08,74,29578.56061
A08,75,28650.25758
A08,76,27479.33333
A08,77,26529.84848
A08,78,25496.92424
A08,79,24560.56061
A08,80,23495.01515
A08,81,22593.16667
A08,82,21622.18182
A08,83,20653.18182
A08,84,19737.87879
A08,85,18835.24242
A08,86,17938.84848
A08,87,17034.93939
A08,88,16156.95455
A08,89,15307.69697
A08,90,14453.42424
A08,91,13632.45455
A08,92,12816.01515
A08,93,12039.59091
A08,94,11287.87879
A08,95,10603.95455
A09,26,14688.30303
A09,27,13620.78788
A09,28,14781.65152
A09,29,14431.15152
A09,30,13530.42424
A09,31,12639.40909
A09,32,12635.71212
A09,33,12750.04545
A09,34,12632.60606
A09,35,12090.15152
A09,36,11729.10606
A09,37,11437.80303
A09,38,11269.42424
A09,39,10986.90909
A09,40,10829.36364
A09,41,10733.80303
A09,42,10675.36364
A09,43,10409.25758
A09,44,10348.93939
A09,45,10281.06061
A09,46,10241.21212
A09,47,10230.78788
A09,48,10185.21212
A09,49,10219.95455
A09,50,10226.25758
A09,51,10236.68182
A09,52,10190.19697
A09,53,10124.57576
A09,54,10099.57576
A09,55,9961.666667
A09,56,9861.621212
A09,57,9790.5
A09,58,9653.030303
A09,59,9550.590909
A09,60,9425.560606
A09,61,9208.848485
A09,62,8845.19697
A09,63,8519.363636
A09,64,8282.878788
A09,65,8488.712121
A09,66,7860.075758
A09,67,7738.515152
A09,68,7667.257576
A09,69,7569.30303
A09,70,7542.5
A09,71,7489.424242
A09,72,7481
A09,73,7493.5
A09,74,7468.045455
A09,75,7548.136364
A09,76,7655.318182
A09,77,7973.090909
A09,78,8639.348485
A09,79,10138.78788
A09,80,12681.81818
A09,81,14871.45455
A09,82,15580.5303
A09,83,15670.80303
A09,84,15736.27273
